Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
HSBC MSCI Emerg Mkts ETF USD Acc,IE000KCS7J59,"0,97 %","2,40 %","3,88 %","11,43 %","29,03 %","33,08 %","26,36 %","19,68 %",—,—
HSBC MSCI Europe Clmt Paris Algnd ETFEUR,IE00BP2C0316,"0,22 %","0,33 %","4,07 %","4,67 %","12,09 %","13,68 %","10,56 %","15,78 %",—,—
HSBC MSCI Europe ETF,IE00B5BD5K76,"0,12 %","1,40 %","3,94 %","4,68 %","12,14 %","16,16 %","13,58 %","15,84 %","13,02 %","7,20 %"
HSBC MSCI Europe Islamic Scrn ETF EURAcc,IE000AGFZM58,"0,36 %","1,81 %","5,61 %","6,21 %","12,39 %","11,10 %","7,77 %",—,—,—
HSBC MSCI Indonesia ETF,IE00B46G8275,"1,03 %","8,71 %","3,77 %","1,58 %","10,43 %","−0,33 %","−15,59 %","−4,17 %","3,05 %","1,66 %"
HSBC MSCI Japan Climate Paris Algnd ETF,IE000UU299V4,"0,78 %","0,94 %","2,75 %","8,66 %","18,95 %","23,30 %","20,42 %","14,94 %",—,—
HSBC MSCI JAPAN ETF,IE00B5VX7566,"0,21 %","0,76 %","1,45 %","6,63 %","19,75 %","24,23 %","26,31 %","21,55 %","9,04 %","7,21 %"
HSBC MSCI Japan Islamic Scrn ETF USD Acc,IE0001XCFC82,"1,03 %","1,70 %","3,43 %","7,80 %","18,95 %","22,38 %","19,14 %",—,—,—
HSBC MSCI KOREA CAPPED ETF,IE00B3Z0X395,"2,49 %","4,40 %","14,53 %","26,42 %","67,29 %","81,06 %","55,71 %","24,42 %","7,35 %","7,60 %"
HSBC MSCI Pacific ex Japan ETF,IE00B5SG8Z57,"0,16 %","1,45 %","1,51 %","2,21 %","16,74 %","20,14 %","14,95 %","16,14 %","8,66 %","6,82 %"
HSBC MSCI Russia Capped ETF,IE00B5LJZQ16,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","−21,18 %","−7,59 %"
HSBC MSCI Taiwan Capped ETF,IE00B3S1J086,"1,46 %","2,64 %","5,12 %","13,64 %","50,66 %","31,16 %","27,85 %","34,89 %","17,55 %","16,08 %"
HSBC MSCI USA Clmt Paris Aligned ETF USD,IE00BP2C1S34,"1,43 %","2,98 %","2,89 %","7,38 %","26,18 %","12,29 %","16,05 %","22,76 %",—,—
HSBC MSCI USA Islamic Scrn ETF USD Acc,IE000I5NV504,"1,39 %","3,43 %","6,04 %","10,17 %","32,05 %","17,55 %","18,72 %",—,—,—
HSBC MSCI USA QUALITY UCITS ETF,IE00B5WFQ436,"0,76 %","2,79 %","2,31 %","5,99 %","23,30 %","12,96 %","14,61 %","21,88 %","14,68 %","13,90 %"
HSBC MSCI World Clmt Paris Algnd ETF USD,IE00BP2C1V62,"1,08 %","2,33 %","2,97 %","6,73 %","22,98 %","16,83 %","17,50 %","22,46 %",—,—
HSBC MSCI World ETF,IE00B4X9L533,"0,99 %","2,41 %","2,27 %","6,34 %","23,29 %","18,70 %","19,86 %","22,78 %","14,40 %","11,96 %"
HSBC MSCI World ETF CHF Hedged (Acc),IE000WMRNBB0,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,97 %",—,—,—
HSBC MSCI World ETF EUR Hedged (Acc),IE000QMIHY81,"0,94 %","2,59 %","2,52 %","6,41 %","22,17 %","15,47 %","16,93 %",—,—,—
HSBC MSCI World Islamic Scrn ETF USD Acc,IE000X9FTI22,"0,87 %","2,42 %","5,20 %","8,54 %","26,69 %","19,97 %","18,80 %",—,—,—
HSBC MSCI World Sm Cap Scrn ETF USD Acc,IE000C692SN6,"1,59 %","2,82 %","1,81 %","5,81 %","20,11 %","14,19 %","12,97 %","14,63 %",—,—
HSBC MSCI World Value Scrn ETF USD Acc,IE000LYBU7X5,"0,79 %","2,17 %","1,88 %","5,29 %","21,94 %","22,33 %","20,81 %","20,77 %",—,—
HSBC Multi Factor Worldwide Eq ETF,IE00BKZGB098,"0,91 %","2,64 %","1,72 %","6,32 %","22,58 %","20,51 %","20,59 %","21,98 %","13,63 %","10,62 %"
HSBC Multi Factor Worldwide Eq ETF $ Acc,IE0000378O66,"0,90 %","2,61 %","1,64 %","6,25 %","22,41 %","20,51 %","20,46 %","21,89 %",—,—
HSBC NASDAQ Global Clmt Tech ETF USD Acc,IE000XC6EVL9,"2,33 %","2,59 %","3,41 %","7,54 %","35,82 %","25,41 %","25,71 %",—,—,—
HSBC NASDAQ Global Semiconductor ETF USD,IE000YDZG487,"2,82 %","4,05 %","12,38 %","28,66 %","72,46 %","49,16 %","46,62 %","49,83 %",—,—
HSBC Pl EM Eq Inc Quant Act ETF USD Dis,IE000893FCN6,"1,13 %","2,62 %","3,94 %",—,—,—,—,—,—,—
HSBC Pl EM Eq Quant Act ETF USD Acc,IE000UERNJ93,"0,76 %","2,05 %","2,87 %",—,—,—,—,—,—,—
HSBC Pl Wld Eq Inc Quant Act ETF USD Acc,IE000KL4O2Z8,"0,89 %","2,45 %","2,28 %","6,35 %",—,—,—,—,—,—
HSBC PLUS USA Eq Quant Act ETF USD Acc,IE0008JXFQK8,"1,13 %","2,86 %","2,28 %","7,32 %",—,—,—,—,—,—
HSBC Plus World Eq Quant Act ETF USD Acc,IE000ZURGSV2,"0,96 %","2,55 %","1,87 %","6,67 %",—,—,—,—,—,—
HSBC S&P 500 ETF,IE00B5KQNG97,"1,20 %","2,83 %","2,33 %","6,97 %","25,59 %","15,65 %","18,39 %","23,22 %","15,91 %","14,29 %"
HSBC S&P 500 ETF CHF Hedged (Acc),IE000WMIYI33,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,41 %",—,—,—
HSBC S&P India Tech ETF EUR Acc,IE0008119MO8,"−0,42 %","2,37 %","5,21 %","0,00 %","−1,06 %","−19,72 %","−16,84 %",—,—,—
HSBC UK Screened Equity ETF,IE00BKY53D40,"0,09 %","2,98 %","4,74 %","4,64 %","14,28 %","21,49 %","19,37 %","13,01 %","10,59 %",—
HSBC UK Screened Equity ETF GBP Dis,IE00046S3PW1,"0,40 %","2,96 %","4,52 %","4,32 %","14,19 %","21,45 %","19,34 %","13,01 %",—,—
HSBC US Corporate Bond ETF ETFC USD Acc,IE000845MQC5,"0,12 %","0,39 %","1,40 %","4,17 %",—,—,—,—,—,—
HSBC USA Screened Equity ETF,IE00BKY40J65,"0,68 %","2,36 %","3,18 %","6,92 %","26,09 %","15,81 %","16,40 %","20,19 %","14,20 %",—
Ice Brent Crude Oil ETC,DE000PS701L2,"2,12 %","9,69 %","−0,37 %","0,46 %","4,81 %","−10,01 %","−7,74 %","−3,87 %","24,74 %",—
iMGP DBi Mgd Fut ex-Cmdts R USD ETF,LU3024069877,"0,00 %","0,00 %","0,00 %","1,88 %","11,25 %",—,—,—,—,—
IndexIQ Factors Sust Corp EUR Bd ETF D,LU1603790731,"0,35 %","0,35 %","0,64 %","1,14 %","3,21 %","3,23 %","3,86 %","5,04 %","0,51 %",—
IndexIQ Factors Sust Eurp Eq ETF C,LU1603795458,"0,00 %","1,84 %","3,19 %","3,72 %","12,50 %","16,52 %","14,35 %","15,47 %","12,90 %",—
IndexIQ Factors Sustainable Jpn Eq ETF C,LU1603797587,"0,00 %","1,77 %","0,19 %","10,11 %","12,24 %","4,90 %","8,95 %","11,90 %","9,31 %",—
Infrastructure Capital Pref Inc ETF Dis,IE0008LRGGP4,"0,37 %","1,16 %","−0,64 %",—,—,—,—,—,—,—
Invesco Artificial Intllgnc Enblrs ETF,IE000LGWDNE5,"2,82 %","3,75 %","7,31 %","24,52 %","59,78 %","33,77 %",—,—,—,—
Invesco AT1 Capital Bond ETF,IE00BFZPF322,"0,10 %","0,00 %","0,29 %","2,84 %","7,99 %","9,24 %","9,72 %","9,97 %","3,85 %",—
Invesco AT1 Capital Bond ETF EUR Hdg Dis,IE00BFZPF439,"0,43 %","0,28 %","0,57 %","2,61 %","6,88 %","7,49 %","7,75 %","7,67 %","1,87 %",—
Invesco AT1 Capital Bond ETF USD Dis,IE00BG0TQB18,"−0,44 %","−0,22 %","0,44 %","2,73 %","7,97 %","9,32 %","9,85 %","9,79 %","3,81 %",—
Invesco Bloomberg Cmd Carb Tltd ETFUSD,IE000CYTPBT0,"0,00 %","1,86 %","3,08 %","3,96 %","8,12 %","11,02 %","9,42 %",—,—,—
Invesco Bloomberg Commodity ETF,IE00BD6FTQ80,"−0,24 %","1,80 %","3,55 %","4,28 %","7,30 %","12,62 %","12,45 %","3,17 %","10,78 %",—
Invesco Bloomberg Commodity ETF EUR H,IE00BF4J0300,"0,11 %","2,33 %","3,72 %","3,91 %","6,36 %","10,99 %","10,35 %","0,86 %","8,80 %",—
Invesco BulletShrs 2026 € Corp Bd ETFAcc,IE0004QWOTD5,"0,00 %","0,05 %","0,20 %","0,53 %","1,16 %","2,40 %","2,89 %",—,—,—
Invesco BulletShrs 2026 € Corp Bd ETFDis,IE000AYJ75E5,"0,01 %","0,02 %","0,22 %","0,55 %","1,18 %","2,36 %","2,82 %",—,—,—
Invesco BulletShrs 2027 € Corp Bd ETFAcc,IE000LGHLQ71,"−0,04 %","−0,12 %","0,35 %","0,50 %","1,37 %","2,86 %","3,17 %",—,—,—
Invesco BulletShrs 2027 € Corp Bd ETFDis,IE000XOS4OJ6,"−0,06 %","−0,00 %","0,27 %","0,45 %","1,28 %","2,80 %","3,24 %",—,—,—
Invesco BulletShrs 2028 € Corp Bd ETFAcc,IE00079EUF59,"0,06 %","0,15 %","0,38 %","0,64 %","1,65 %","3,38 %","3,67 %",—,—,—
Invesco BulletShrs 2028 € Corp Bd ETFDis,IE000LKGEZQ6,"−0,03 %","−0,09 %","0,44 %","0,61 %","1,55 %","3,28 %","3,58 %",—,—,—
Invesco BulletShrs 2029 € Corp Bd ETFAcc,IE000P5IB8I8,"−0,06 %","−0,03 %","0,44 %","0,76 %","1,76 %","3,36 %","3,66 %",—,—,—
Invesco BulletShrs 2029 € Corp Bd ETFDis,IE000ZC4C5Q1,"−0,12 %","−0,14 %","0,52 %","0,63 %","1,70 %","3,37 %","3,60 %",—,—,—
Invesco BulletShrs 2030 € Corp Bd ETFAcc,IE000I25S1V5,"−0,04 %","0,06 %","0,77 %","1,01 %","2,04 %","3,74 %","4,10 %",—,—,—
Invesco BulletShrs 2030 € Corp Bd ETFDis,IE000W6YTDH7,"−0,02 %","−0,01 %","0,75 %","0,90 %","2,00 %","3,70 %","4,12 %",—,—,—
Invesco BulletShrs2026USDCorpBdETFUSDAcc,IE000ZUAJ6B7,"0,05 %","0,11 %","0,43 %","1,38 %","2,67 %","4,22 %","4,93 %",—,—,—
Invesco BulletShrs2027USDCorpBdETFUSDAcc,IE0001XIQ4D9,"0,03 %","0,06 %","0,50 %","1,78 %","3,24 %","4,97 %","5,44 %",—,—,—
Invesco BulletShrs2028USDCorpBdETFUSDAcc,IE000GMRDSZ7,"0,04 %","0,11 %","0,62 %","2,14 %","3,90 %","6,07 %","6,27 %",—,—,—
Invesco BulletShrs2029USDCorpBdETFUSDAcc,IE000B4EDHL6,"0,00 %","0,09 %","0,65 %","2,40 %","4,68 %","6,80 %","6,72 %",—,—,—
Invesco BulletShrs2030USDCorpBdETFUSDAcc,IE00034XRBU1,"0,00 %","0,08 %","0,72 %","2,80 %","5,07 %","7,60 %","7,14 %",—,—,—
Invesco ChiNext 50 ETF USD Acc,IE000AWRDWI7,"3,91 %","8,56 %","0,37 %","46,94 %","84,56 %","67,15 %","57,81 %",—,—,—
Invesco CoinShares Global Blockchain ETF,IE00BGBN6P67,"7,23 %","5,77 %","12,13 %","28,45 %","102,06 %","80,32 %","95,77 %","50,28 %","23,14 %",—
Invesco Comms S&P US Slct Sec ETF $ Acc,IE00BG7PP820,"0,17 %","−0,36 %","−3,10 %","2,53 %","19,33 %","18,14 %","27,90 %","33,58 %","13,20 %",—
Invesco Consumer Discr S&P US SelSec ETF,IE00B449XP68,"0,99 %","2,20 %","−0,54 %","8,14 %","25,45 %","6,57 %","23,39 %","21,60 %","11,61 %","13,06 %"
Invesco Consumer Stap S&P US Sel Sec ETF,IE00B435BG20,"0,14 %","−0,11 %","1,27 %","−0,41 %","0,13 %","5,23 %","2,51 %","8,93 %","7,84 %","7,73 %"
Invesco Cybersecurity ETF,IE00072RHT03,"1,23 %","4,40 %","0,29 %","2,77 %","18,09 %","13,23 %",—,—,—,—
Invesco Defence Innovation ETF,IE000BRM9046,"0,98 %","4,39 %","4,07 %","15,10 %","50,18 %","57,30 %",—,—,—,—
Invesco Dow Jones US Insurance ETF $ Acc,IE0007UJ6IE0,"0,33 %","1,28 %","−2,54 %","−0,03 %","−0,81 %","2,63 %","−0,29 %",—,—,—
Invesco Dw Jns Islmc Glb Dev MktsETF$Acc,IE000UOXRAM8,"1,10 %","2,67 %","3,46 %","7,90 %","27,64 %","16,86 %","18,15 %","22,81 %",—,—
Invesco Emerging Markets USD Bond ETF,IE00BF51K132,"0,00 %","0,65 %","1,44 %","4,84 %","9,08 %","10,93 %","11,00 %","12,76 %","2,06 %",—
Invesco Energy S&P US Select Sector ETF,IE00B435CG94,"−0,51 %","3,28 %","−2,67 %","2,28 %","9,40 %","6,26 %","1,56 %","3,15 %","28,09 %","6,29 %"
Invesco EQQQ NASDAQ-100 ETF,IE0032077012,"1,42 %","3,45 %","3,45 %","9,32 %","33,42 %","19,92 %","26,01 %","31,49 %","17,41 %","19,21 %"
Invesco EQQQ NASDAQ-100 ETF (CHF Hdg),IE00BYVTMT69,"1,40 %","3,39 %","3,03 %","7,92 %","30,03 %","15,79 %","20,88 %","25,71 %","13,31 %",—
Invesco EQQQ NASDAQ-100 ETF (EUR Hdg),IE00BYVTMS52,"1,40 %","3,41 %","3,24 %","8,64 %","31,53 %","17,91 %","23,93 %","28,47 %","14,83 %",—
Invesco EQQQ NASDAQ-100 ETF (GBP Hdg),IE00BYVTMW98,"1,38 %","3,37 %","3,45 %","9,18 %","33,08 %","19,34 %","25,86 %","30,29 %","16,24 %",—
Invesco EUR AAA CLO ETF Acc,IE000Y2JPPS4,"−0,05 %","0,10 %","0,19 %","0,74 %","1,89 %",—,—,—,—,—
Invesco EUR Corp Bd ESG Mltfct ETFEURAcc,IE00021E4FE3,"−0,10 %","−0,05 %","0,70 %","1,04 %","1,98 %","3,27 %","3,65 %","5,71 %",—,—
Invesco EUR Govt & RelatedGrnBdWtdETFAcc,IE0007BT2BH8,"−0,34 %","−0,19 %","1,13 %","0,95 %","0,32 %","1,20 %","1,11 %",—,—,—
Invesco EUR Govt & RelatedGrnBdWtdETFDis,IE0008SEV3B2,"−0,42 %","−0,37 %","1,07 %","0,88 %","0,26 %","1,16 %","1,05 %",—,—,—
Invesco EUR IG Corp Bd ESG ClmtTrnstnETF,IE00BF51K249,"−0,13 %","−0,07 %","0,66 %","1,08 %","2,03 %","3,39 %","3,79 %","5,73 %","0,04 %",—
Invesco EURCorpBdShrtDurESGMltfctETF€Acc,IE000PA766T7,"−0,02 %","0,00 %","0,49 %","0,90 %","1,77 %","3,33 %","3,75 %","4,59 %",—,—
Invesco Euro Corporate Hybrid Bd ETF Acc,IE00BKWD3B81,"0,10 %","0,67 %","0,89 %","1,70 %","4,34 %","5,35 %","6,65 %","10,35 %","2,64 %",—
Invesco Euro Corporate Hybrid Bd ETF Inc,IE00BKWD3966,"0,06 %","0,56 %","0,84 %","1,55 %","4,47 %","5,24 %","6,41 %","10,30 %","2,52 %",—
Invesco Euro Government Bond 1-3 Yr ETF,IE00BGJWWY63,"−0,08 %","−0,07 %","0,29 %","0,30 %","0,64 %","2,08 %","2,53 %","2,66 %","0,50 %",—
Invesco Euro Government Bond 3-5 Yr ETF,IE00BGJWWV33,"0,00 %","−0,14 %","0,78 %","0,95 %","0,83 %","2,68 %","2,95 %","3,16 %","−0,27 %",—
Invesco Euro Government Bond 5-7 Yr ETF,IE00BGJWWT11,"0,00 %","−0,06 %","0,96 %","1,32 %","1,14 %","3,06 %","2,95 %","3,67 %","−1,11 %",—
Invesco Euro Government Bond ETF,IE00BGJWWX56,"−0,32 %","−0,27 %","1,16 %","1,06 %","0,34 %","1,14 %","1,16 %","1,91 %","−2,79 %",—
Invesco Euro Govt Bd 7-10 Yr ETF EUR Dis,IE00BGJWWW40,"−0,34 %","−0,21 %","1,24 %","1,29 %","0,83 %","2,38 %","1,65 %","3,89 %","−2,45 %",—
Invesco EURO STOXX 50 ETF,IE00B60SWX25,"0,11 %","1,15 %","3,91 %","6,09 %","12,77 %","19,13 %","18,10 %","20,47 %","15,19 %","8,21 %"
Invesco EURO STOXX 50 ETF (Dist),IE00B5B5TG76,"0,11 %","1,14 %","3,88 %","6,07 %","12,77 %","19,11 %","18,08 %","20,50 %","15,22 %","8,21 %"
Invesco EURO STOXX Hi Div Low VolETF,IE00BZ4BMM98,"0,00 %","0,00 %","0,00 %","1,23 %","5,20 %","5,92 %","6,63 %","6,04 %","5,49 %",—
Invesco EURO STOXX Optimised Banks ETF,IE00B3Q19T94,"0,06 %","0,27 %","−3,35 %","5,31 %","25,33 %","58,49 %","60,42 %","44,15 %","36,84 %","8,43 %"
Invesco EuroMTS Cash 3 Months ETF,IE00B3BPCH51,"−0,04 %","−0,02 %","0,17 %","0,46 %","0,96 %","1,76 %","2,37 %","2,82 %","1,44 %","0,39 %"
Invesco Financials S&P US Select Sec ETF,IE00B42Q4896,"1,50 %","2,34 %","−1,06 %","−0,08 %","11,47 %","10,71 %","14,38 %","19,51 %","17,78 %","12,27 %"
Invesco FTSE 100 ETF,IE00B60SWT88,"0,59 %","3,02 %","4,38 %","6,33 %","16,43 %","21,52 %","20,50 %","15,10 %","14,39 %","7,87 %"
Invesco FTSE 250 ETF,IE00B60SWV01,"0,67 %","3,32 %","4,04 %","2,45 %","17,44 %","12,37 %","11,68 %","12,55 %","7,37 %","5,34 %"
Invesco FTSE All Shr Scrn & Tilted ETF,IE00BN7J5Z03,"0,58 %","3,17 %","5,63 %","5,20 %","13,37 %","17,94 %","16,60 %","12,70 %",—,—
Invesco FTSE All-World ETF Acc,IE000716YHJ7,"0,84 %","2,33 %","2,40 %","6,69 %","23,54 %","19,99 %","20,45 %",—,—,—
Invesco FTSE All-World ETF CHF PfHdg Acc,IE000SHR0UX9,"1,02 %","2,60 %","2,42 %","5,78 %","20,72 %","13,13 %","13,58 %",—,—,—
Invesco FTSE All-World ETF EUR PfHdg Acc,IE0006VDD4K1,"0,88 %","2,63 %","2,79 %","6,97 %","22,27 %","15,75 %","17,25 %",—,—,—
Invesco FTSE All-World ETF GBP PfHdg Dis,IE000UJC4MR1,"0,97 %","2,65 %","2,89 %","7,34 %","23,41 %","17,36 %","19,14 %",—,—,—
Invesco FTSE Em Mkts Hi Div Low Vol ETF,IE00BYYXBF44,"0,52 %","2,20 %","2,36 %","6,23 %","17,75 %","23,50 %","18,47 %","15,17 %","9,31 %",—
Invesco FTSE RAFI All World 3000 ETF,IE00B23LNQ02,"0,88 %","1,92 %","2,00 %","6,45 %","20,11 %","24,02 %","20,13 %","20,49 %","13,90 %","8,84 %"
Invesco FTSE RAFI Emerging Markets ETF,IE00B23D9570,"0,16 %","1,53 %","2,37 %","6,44 %","22,70 %","28,53 %","23,53 %","22,45 %","11,93 %","6,33 %"
Invesco FTSE RAFI Europe ETF,IE00B23D8X81,"0,19 %","1,61 %","3,46 %","4,62 %","13,35 %","21,63 %","19,51 %","18,48 %","16,91 %","7,62 %"
Invesco FTSE RAFI UK 100 ETF,IE00B23LNN70,"0,42 %","3,35 %","3,90 %","7,20 %","19,91 %","23,54 %","24,48 %","16,56 %","18,83 %","8,98 %"
Invesco FTSE RAFI US 1000 ETF,IE00B23D8S39,"1,23 %","2,71 %","1,97 %","5,94 %","18,74 %","13,65 %","13,03 %","16,83 %","15,55 %","11,68 %"
Invesco GBP Corp Bd Scrn & Tltd ETF Dis,IE00BKW9SV11,"−0,01 %","0,69 %","1,56 %","2,33 %","4,72 %","6,03 %","5,93 %","7,65 %","−0,63 %",—
Invesco GBP Corporate Bond ETF Dist,IE00BKW9SW28,"0,00 %","0,66 %","1,77 %","2,82 %","4,68 %","5,93 %","5,94 %","7,35 %","−0,89 %",—
Invesco Glb Corp Bd ESG Clm Trtn ETF$Dis,IE000FVQW7E7,"0,06 %","0,18 %","0,83 %","2,63 %","5,83 %","10,00 %","8,55 %",—,—,—
Invesco Glb HY Corp Bd ESG Clm rtnETFDis,IE000ZWSN3F7,"0,23 %","0,73 %","−0,09 %","1,56 %","5,83 %","9,08 %","9,14 %",—,—,—
Invesco Glb HY Corp Bd ESG ClmTrtnETFAcc,IE0001VDDL68,"0,51 %","0,88 %","−0,14 %","1,81 %","5,69 %","9,17 %","9,05 %",—,—,—
Invesco Glb HYCorpBdESGClmTrtnETF£PfHDis,IE00020C1NS6,"0,23 %","0,62 %","0,05 %","1,82 %","5,17 %","6,67 %","7,62 %",—,—,—
Invesco Glb HYCorpBdESGClmTrtnETF€PfHAcc,IE000XG0ZRI7,"0,15 %","0,58 %","−0,14 %","1,20 %","4,22 %","5,16 %","5,66 %",—,—,—
Invesco Global Active Defesv ESGEqETFAcc,IE000N42HDP2,"0,59 %","1,40 %","1,55 %","3,32 %","13,99 %","16,45 %","15,61 %","18,34 %",—,—
Invesco Global Actv ESG Eq ETF EURPfHAcc,IE00BJQRDP39,"1,16 %","2,52 %","2,74 %","6,14 %","21,44 %","14,89 %","15,85 %","22,38 %","15,18 %",—
Invesco Global Actv ESG Eq ETF USD Acc,IE00BJQRDN15,"1,21 %","2,42 %","2,46 %","6,13 %","22,14 %","18,50 %","18,61 %","25,03 %","16,20 %",—
Invesco Global Buyback Achievers ETF,IE00BLSNMW37,"1,01 %","3,14 %","0,67 %","4,73 %","22,11 %","24,76 %","21,77 %","20,52 %","14,99 %","11,20 %"
Invesco Global Clean Energy ETF Acc,IE00BLRB0242,"2,66 %","2,21 %","10,16 %","19,06 %","58,86 %","45,12 %","32,71 %","−0,31 %",—,—
Invesco Global Enh Eq ETF EUR PfHdg Acc,IE000OHEH5Y9,"0,98 %","2,60 %","2,03 %","7,10 %",—,—,—,—,—,—
Invesco Global Enh Eq ETF USD Acc,IE000TZ4SIN6,"1,01 %","2,52 %","2,11 %","9,41 %",—,—,—,—,—,—
Invesco GlobalActiveDefesvESGEqETFPfHAcc,IE000XIBT2R7,"0,31 %","1,24 %","1,66 %","3,17 %","12,71 %","12,02 %","12,78 %","15,60 %",—,—
Invesco Health Care S&P US Sel Sec ETF,IE00B3WMTH43,"0,73 %","2,99 %","7,34 %","8,12 %","8,08 %","7,72 %","−0,94 %","5,87 %","7,72 %","9,35 %"
Invesco Hydrogen Economy ETF USD Acc,IE00053WDH64,"2,60 %","0,69 %","9,26 %","12,72 %","49,29 %","37,17 %","25,32 %","0,96 %",—,—
Invesco Industrials S&P US Sel Sec ETF,IE00B3YC1100,"0,82 %","2,64 %","1,58 %","1,18 %","22,21 %","18,33 %","15,70 %","21,69 %","15,36 %","12,31 %"
Invesco JPX-Nikkei 400 ETF (EUR Hdg),IE00BVGC6645,"0,66 %","2,83 %","4,24 %","11,85 %","26,93 %","21,79 %","27,99 %","25,87 %","18,79 %","9,82 %"
Invesco JPX-Nikkei 400 ETF (USD Hdg),IE00BVGC6751,"0,65 %","2,75 %","4,42 %","12,50 %","28,80 %","24,48 %","30,22 %","28,28 %","20,96 %","11,98 %"
Invesco KBW NASDAQ Fintech ETF,IE00BYMS5W68,"1,72 %","4,70 %","−2,00 %","−4,53 %","14,94 %","3,96 %","14,23 %","23,83 %","10,43 %",—
Invesco Materials S&P US Select Sec ETF,IE00B3XM3R14,"0,23 %","1,26 %","−1,00 %","−1,34 %","9,53 %","8,07 %","−3,82 %","9,06 %","8,03 %","9,07 %"
Invesco MDAX® ETF Acc,IE00BHJYDV33,"1,12 %","2,50 %","−0,18 %","−4,32 %","7,91 %","17,89 %","10,96 %","8,67 %","1,69 %",—
Invesco Morningstar US EnrgInfrMLPETF,IE00B94ZB998,"0,18 %","3,75 %","−1,51 %","−2,35 %","−1,76 %","1,90 %","6,77 %","13,89 %","25,02 %","5,44 %"
Invesco MSCI China All Shares Cnct ETF,IE00BK80XL30,"1,04 %","2,81 %","0,32 %","10,71 %","26,31 %","32,72 %","30,56 %","18,89 %",—,—
Invesco MSCI China Tech AS Stk Cnct ETF,IE00BM8QS095,"1,35 %","4,16 %","−2,25 %","14,34 %","28,98 %","41,68 %","41,94 %","21,27 %",—,—
Invesco MSCI EM ESG Clmt PrsAlgndETF$Acc,IE000PJL7R74,"0,67 %","1,65 %","2,21 %","7,86 %","24,97 %","26,94 %","21,46 %","16,71 %",—,—
Invesco MSCI Em Mkts Unvsl Scrnd ETF,IE00BMDBMY19,"0,91 %","2,12 %","3,81 %","10,14 %","28,11 %","31,30 %","25,26 %","20,10 %",—,—
Invesco MSCI Emerging Markets ETF,IE00B3DWVS88,"0,82 %","2,32 %","3,76 %","10,85 %","28,40 %","32,57 %","25,64 %","20,96 %","6,47 %","6,83 %"
Invesco MSCI Europe Equal Weight ETF Acc,IE000LUZJNI7,"0,39 %","2,23 %","4,11 %","3,35 %","12,89 %",—,—,—,—,—
Invesco MSCI Europe ETF,IE00B60SWY32,"0,22 %","1,52 %","4,01 %","4,94 %","12,44 %","16,63 %","13,71 %","15,68 %","13,05 %","7,13 %"
Invesco MSCI Europe Unvsl Scrn ETF,IE00BJQRDL90,"0,54 %","0,54 %","3,97 %","5,83 %","12,44 %","14,87 %","11,02 %","16,80 %","11,61 %",—
Invesco MSCI EuropeCatholicPrinciplesETF,IE00BG0NY640,"0,00 %","1,04 %","3,23 %","4,93 %","11,64 %","11,46 %","12,05 %","17,23 %","10,86 %",—
Invesco MSCI Eurp ESG Climate Prs Algnd,IE000TI21P14,"0,19 %","1,41 %","4,41 %","4,52 %","11,45 %","12,56 %","8,84 %","14,05 %",—,—
Invesco MSCI Eurp ExUK Unv Scrnd ETF,IE00BMDBMW94,"0,11 %","1,07 %","3,63 %","4,48 %","12,22 %","15,43 %","12,38 %","16,22 %",—,—
Invesco MSCI Japan ESG Climate Prs Algnd,IE000I8IKC59,"0,52 %","0,65 %","1,85 %","7,50 %","16,05 %","22,76 %","22,35 %","15,29 %",—,—
Invesco MSCI Japan ETF,IE00B60SX287,"0,94 %","1,41 %","2,13 %","7,88 %","19,70 %","24,44 %","26,82 %","21,62 %","9,04 %","7,15 %"
Invesco MSCI Japan Unvrsl Scrn ETF,IE00BMDBMV87,"0,68 %","1,09 %","2,15 %","7,81 %","20,15 %","25,03 %","27,20 %","21,83 %",—,—
Invesco MSCI Kuwait ETF USD Acc,IE00BK63RN45,"0,18 %","0,28 %","−1,57 %","1,74 %","11,10 %","23,27 %","27,66 %","6,95 %","10,39 %",—
Invesco MSCI Pac Ex Jpn UnvslScrnETF,IE00BMDBMT65,"0,21 %","1,47 %","1,99 %","1,31 %","16,72 %","19,23 %","14,52 %","15,75 %",—,—
Invesco MSCI Saudi Arabia ETF,IE00BFWMQ331,"−0,02 %","−0,20 %","0,50 %","9,57 %","2,48 %","3,01 %","4,25 %","−0,71 %","8,42 %",—
Invesco MSCI USA ESG Climate Prs Algnd,IE000RLUE8E9,"1,50 %","2,66 %","3,86 %","6,14 %","25,50 %","15,37 %","14,74 %","22,80 %",—,—
Invesco MSCI USA ETF,IE00B60SX170,"1,17 %","2,90 %","2,26 %","7,03 %","25,99 %","15,89 %","18,96 %","23,60 %","15,79 %","14,38 %"
