Nombre,ISIN,Último Precio,Rendimiento 12 Meses,Categoría Morningstar,Medalist Rating,Rating Morningstar para Fondos,Rating ESG Morningstar Para Fondos,Patrimonio (moneda base),Fecha Patrimonio Fondo,Costes PRIIPs KID,Fecha de creación
VanEck Junior Gold Miners ETF,IE00BQQP9G91,"94,40 US$","0,00 %",Sector Equity Precious Metals,,,,"1253,13 MUS$",13 oct 2025,"0,55 %",25 mar 2015
VanEck Medical Robotic and Bionic EngETF,IE0005TF96I9,"20,03 US$","0,00 %",Sector Equity Healthcare,,—,,"5,97 MUS$",13 oct 2025,"0,55 %",2 dic 2022
VanEck Morningstar DevMrkts Div Lead ETF,NL0011683594,"44,39 €","3,94 %",Global Equity Income,,,,"3411,61 M€",13 oct 2025,"0,38 %",23 may 2016
VanEck Morningstar US SMID Moat ETF A,IE000SBU19F7,"23,03 US$","0,00 %",US Mid-Cap Equity,,—,,"13,80 MUS$",13 oct 2025,"0,49 %",12 ene 2024
VanEck Morningstar US Wide Moat ETF A,IE0007I99HX7,"23,82 US$","0,00 %",US Large-Cap Blend Equity,,—,,"42,86 MUS$",13 oct 2025,"0,46 %",12 ene 2024
VanEck MorningstarGlbWdMtETFAUSD,IE00BL0BMZ89,"35,00 US$","0,00 %",Global Large-Cap Blend Equity,,,,"141,51 MUS$",13 oct 2025,"0,52 %",7 jul 2020
VanEck Mstar US ESG WidMoatETF,IE00BQQP9H09,"61,60 US$","0,00 %",US Large-Cap Blend Equity,,,,"382,21 MUS$",13 oct 2025,"0,49 %",16 oct 2015
VanEck Multi-Asset Bal Alloc UCITS ETF,NL0009272772,"73,21 €","1,92 %",EUR Moderate Allocation - Global,,,,"37,48 M€",13 oct 2025,"0,30 %",8 dic 2009
VanEck Multi-Asset Cons Alloc UCITS ETF,NL0009272764,"62,99 €","1,49 %",EUR Cautious Allocation - Global,,,,"20,61 M€",13 oct 2025,"0,28 %",14 dic 2009
VanEck Multi-Asset Growth Alloc ETF,NL0009272780,"84,49 €","1,94 %",EUR Aggressive Allocation - Global,,,,"30,37 M€",13 oct 2025,"0,32 %",8 dic 2009
VanEck New China ETF,IE0000H445G8,"17,33 US$","0,00 %",China Equity,,,,"7,52 MUS$",13 oct 2025,"0,60 %",24 sept 2021
VanEck Oil Services ETF A USD Acc,IE000NXF88S1,"19,42 US$","0,00 %",Sector Equity Energy,,—,,"20,90 MUS$",13 oct 2025,"0,35 %",31 mar 2023
VanEck Quantum Cmptg ETF A USD Acc,IE0007Y8Y157,"28,52 US$",—,Sector Equity Technology,—,—,,"348,60 MUS$",13 oct 2025,"0,55 %",21 may 2025
VanEck RreErth&StratMtlsETFA$Acc,IE0002PG6CA6,"15,13 US$","0,00 %",Sector Equity Natural Resources,,,,"439,02 MUS$",13 oct 2025,"0,59 %",24 sept 2021
VanEck S&P Global Mining ETF,IE00BDFBTQ78,"50,69 US$","0,00 %",Sector Equity Natural Resources,,,,"941,68 MUS$",13 oct 2025,"0,50 %",18 abr 2018
VanEck Semiconductor ETF,IE00BMC38736,"57,03 US$","0,00 %",Sector Equity Technology,,,,"3196,50 MUS$",13 oct 2025,"0,35 %",1 dic 2020
VanEck Space Innovators ETF A USD Acc,IE000YU9K6K2,"67,03 US$","0,00 %",Sector Equity Industrial Materials,,,,"538,69 MUS$",13 oct 2025,"0,55 %",24 jun 2022
VanEck Sust Fut of Food ETF A USD Acc,IE0005B8WVT6,"22,40 US$","0,00 %",Sector Equity Agriculture,,,,"10,53 MUS$",13 oct 2025,"0,45 %",24 jun 2022
VanEck Uranium and Nclr Tchs ETF A $ Acc,IE000M7V94E1,"66,86 US$","0,00 %",Sector Equity Natural Resources,,—,,"1662,17 MUS$",13 oct 2025,"0,55 %",3 feb 2023
VanEck US Flln Angl Hi Yld Bd ETFA$Acc,IE000J6CHW80,"24,35 US$","0,00 %",USD High Yield Bond,,—,,"62,27 MUS$",13 oct 2025,"0,35 %",1 sept 2023
VanEck Video Gmng &eSptsETFAUSD,IE00BYWQWR46,"75,56 US$","0,00 %",Sector Equity Technology,,,,"1018,62 MUS$",13 oct 2025,"0,55 %",24 jun 2019
VanEck World Equal Weight Scrn UCITS ETF,NL0010408704,"35,54 €","2,11 %",Global Large-Cap Blend Equity,,,,"1075,56 M€",13 oct 2025,"0,20 %",3 may 2013
Vanguard ESG Dev APAC All Cp ETF USD Acc,IE000GOJO2A3,"8,03 US$","0,00 %",Asia-Pacific Equity,,—,,"189,23 MUS$",13 oct 2025,"0,17 %",11 oct 2022
Vanguard ESG Dev Eurp All Cp ETF EUR Acc,IE000QUOSE01,"6,77 €","0,00 %",Europe Flex-Cap Equity,,,,"176,64 M€",13 oct 2025,"0,12 %",16 ago 2022
Vanguard ESG Em Mkts All Cap ETF USD Acc,IE000KPJJWM6,"8,20 US$","0,00 %",Global Emerging Markets Equity,,—,,"72,82 MUS$",13 oct 2025,"0,20 %",11 oct 2022
Vanguard ESG EUR Corporate Bd ETF EURAcc,IE000QADMYA3,"5,80 €","0,00 %",EUR Corporate Bond,,—,,"157,46 M€",13 oct 2025,"0,09 %",15 nov 2022
Vanguard ESG EUR Corporate Bd ETF EURDis,IE000F37PGZ3,"5,24 €","3,47 %",EUR Corporate Bond,,—,,"157,46 M€",13 oct 2025,"0,09 %",15 nov 2022
Vanguard ESG EUR Corporate Bd ETFGBPHAcc,IE000UQLOH05,"6,05 GBP","3,25 %",Other Bond,—,—,,"136,59 MGBP",13 oct 2025,"0,14 %",15 nov 2022
Vanguard ESG Glb Corp Bd ETF CHF H Acc,IE00BNDS1R53,"4,49 CHF","0,00 %",Global Corporate Bond - CHF Hedged,,,,"1042,55 MCHF",13 oct 2025,"0,15 %",20 may 2021
Vanguard ESG Glb Corp Bd ETF EUR H Acc,IE00BNDS1P30,"4,82 €","0,00 %",Global Corporate Bond - EUR Hedged,,,,"1119,81 M€",13 oct 2025,"0,15 %",20 may 2021
Vanguard ESG Glb Corp Bd ETF EUR H Inc,IE00BNDS1Q47,"4,15 €","4,48 %",Global Corporate Bond - EUR Hedged,,,,"1119,81 M€",13 oct 2025,"0,15 %",20 may 2021
Vanguard ESG Glb Corp Bd ETF GBP H Acc,IE00BNDS1T77,"5,11 GBP","4,32 %",Global Corporate Bond - GBP Hedged,,,,"971,38 MGBP",13 oct 2025,"0,15 %",20 may 2021
Vanguard ESG Glb Corp Bd ETF USD H Acc,IE00BNDS1W07,"5,26 US$","0,00 %",Global Corporate Bond - USD Hedged,,,,"1294,61 MUS$",13 oct 2025,"0,15 %",20 may 2021
Vanguard ESG Glbl All Cap ETF USD Acc,IE00BNG8L278,"7,50 US$","0,00 %",Global Large-Cap Blend Equity,,,,"1318,17 MUS$",13 oct 2025,"0,24 %",23 mar 2021
Vanguard ESG Glbl All Cap ETF USD Inc,IE00BNG8L385,"6,96 US$","1,23 %",Global Large-Cap Blend Equity,,,,"1318,17 MUS$",13 oct 2025,"0,24 %",23 mar 2021
Vanguard ESG NA All Cap ETF USD Acc,IE000O58J820,"7,86 US$","0,00 %",US Flex-Cap Equity,,,,"403,86 MUS$",13 oct 2025,"0,12 %",16 ago 2022
Vanguard ESG NA All Cap ETF USD Inc,IE000L2ZNB07,"7,69 US$","0,85 %",US Flex-Cap Equity,,,,"403,86 MUS$",13 oct 2025,"0,12 %",16 ago 2022
Vanguard ESG USD Corporate Bd ETF USDAcc,IE000JQV8511,"6,03 US$","0,00 %",USD Corporate Bond,,—,,"48,95 MUS$",13 oct 2025,"0,11 %",15 nov 2022
Vanguard ESG USD Corporate Bd ETFEURHAcc,IE000EKJRSZ3,"5,64 €","0,00 %",Other Bond,—,—,,"42,34 M€",13 oct 2025,"0,16 %",15 nov 2022
Vanguard ESG USD Corporate Bd ETFGBPHAcc,IE0000MOWF88,"5,90 GBP","5,13 %",Other Bond,—,—,,"36,73 MGBP",13 oct 2025,"0,16 %",15 nov 2022
Vanguard EUR Corp 1-3 Yr Bd ETF EUR Acc,IE00BH04FZ00,"5,11 €",—,EUR Corporate Bond - Short Term,—,—,,"74,94 M€",13 oct 2025,"0,09 %",11 mar 2025
Vanguard EUR Corp Bd ETF EUR Acc,IE00BGYWT403,"53,30 €","0,00 %",EUR Corporate Bond,,,,"5218,88 M€",13 oct 2025,"0,07 %",19 feb 2019
Vanguard EUR Corp Bd UCITS ETF,IE00BZ163G84,"49,09 €","3,45 %",EUR Corporate Bond,,,,"5218,88 M€",13 oct 2025,"0,07 %",24 feb 2016
Vanguard EUR Euroz Gov Bd 1-3YrETFEURAcc,IE00004S2680,"5,09 €",—,EUR Government Bond - Short Term,—,—,,"39,53 M€",13 oct 2025,"0,07 %",11 mar 2025
Vanguard EUR Euroz Gov Bd UCITS ETF,IE00BZ163H91,"22,52 €","2,83 %",EUR Government Bond,,,,"3808,63 M€",13 oct 2025,"0,07 %",24 feb 2016
Vanguard EUR Euroz GovBd ETFEURAcc,IE00BH04GL39,"24,11 €","0,00 %",EUR Government Bond,,,,"3808,63 M€",13 oct 2025,"0,07 %",19 feb 2019
Vanguard FTSE 100 ETF GBP Acc,IE00BFMXYP42,"49,54 GBP","3,23 %",UK Large-Cap Equity,,,,"5859,22 MGBP",13 oct 2025,"0,10 %",14 may 2019
Vanguard FTSE 100 UCITS ETF,IE00B810Q511,"41,15 GBP","3,28 %",UK Large-Cap Equity,,,,"5859,22 MGBP",13 oct 2025,"0,10 %",22 may 2012
Vanguard FTSE 250 ETF GBP Acc,IE00BFMXVQ44,"40,49 GBP","3,70 %",UK Mid-Cap Equity,,,,"2294,08 MGBP",13 oct 2025,"0,37 %",14 may 2019
Vanguard FTSE 250 UCITS ETF,IE00BKX55Q28,"33,58 GBP","3,80 %",UK Mid-Cap Equity,,,,"2294,08 MGBP",13 oct 2025,"0,37 %",30 sept 2014
Vanguard FTSE All-World ETF USD Acc,IE00BK5BQT80,"163,18 US$","0,00 %",Global Large-Cap Blend Equity,,,,"48,96 mil MUS$",13 oct 2025,"0,19 %",23 jul 2019
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,"159,82 US$","1,37 %",Global Large-Cap Blend Equity,,,,"48,96 mil MUS$",13 oct 2025,"0,19 %",22 may 2012
Vanguard FTSE AllWld HiDivYld ETF $Dis,IE00B8GKDB10,"77,51 US$","2,87 %",Global Equity Income,,,,"8174,58 MUS$",13 oct 2025,"0,29 %",21 may 2013
Vanguard FTSE AllWld HiDivYld ETF USDAcc,IE00BK5BR626,"87,22 US$","0,00 %",Global Equity Income,,,,"8174,58 MUS$",13 oct 2025,"0,29 %",24 sept 2019
Vanguard FTSE Dev AsiaPac exJpn ETF $Dis,IE00B9F5YL18,"30,05 US$","2,99 %",Asia-Pacific ex-Japan Equity,,,,"1880,23 MUS$",13 oct 2025,"0,15 %",21 may 2013
Vanguard FTSE Dev AsiaPac exJpnETFUSDAcc,IE00BK5BQZ41,"37,79 US$","0,00 %",Asia-Pacific ex-Japan Equity,,,,"1880,23 MUS$",13 oct 2025,"0,15 %",24 sept 2019
Vanguard FTSE Dev Eurp ex UK ETF Acc,IE00BK5BQY34,"51,94 €","0,00 %",Europe ex-UK Equity,,,,"4133,72 M€",13 oct 2025,"0,10 %",23 jul 2019
Vanguard FTSE Dev Eurp ex UK ETF Dis,IE00BKX55S42,"43,83 €","2,80 %",Europe ex-UK Equity,,,,"4133,72 M€",13 oct 2025,"0,10 %",30 sept 2014
Vanguard FTSE Dev Eurp UCITS ETF,IE00B945VV12,"43,63 €","2,94 %",Europe Large-Cap Blend Equity,,,,"5716,10 M€",13 oct 2025,"0,10 %",21 may 2013
Vanguard FTSE Dev World ETF $Dis,IE00BKX55T58,"123,26 US$","1,40 %",Global Large-Cap Blend Equity,,,,"9160,25 MUS$",13 oct 2025,"0,12 %",30 sept 2014
Vanguard FTSE Dev World ETF USD Acc,IE00BK5BQV03,"128,80 US$","0,00 %",Global Large-Cap Blend Equity,,,,"9160,25 MUS$",13 oct 2025,"0,12 %",24 sept 2019
Vanguard FTSE Developed Europe ETFEURAcc,IE00BK5BQX27,"51,27 €","0,00 %",Europe Large-Cap Blend Equity,,,,"5716,10 M€",13 oct 2025,"0,10 %",23 jul 2019
Vanguard FTSE Emerg Markets ETF $Dis,IE00B3VVMM84,"73,58 US$","2,15 %",Global Emerging Markets Equity,,,,"4326,32 MUS$",13 oct 2025,"0,17 %",22 may 2012
Vanguard FTSE Emerg Markets ETF USD Acc,IE00BK5BR733,"77,35 US$","0,00 %",Global Emerging Markets Equity,,,,"4326,32 MUS$",13 oct 2025,"0,17 %",24 sept 2019
Vanguard FTSE Japan ETF $Dis,IE00B95PGT31,"42,50 US$","1,74 %",Japan Large-Cap Blend Equity,,,,"3803,56 MUS$",13 oct 2025,"0,10 %",21 may 2013
Vanguard FTSE Japan ETF EUR H Acc,IE00BFMXYY33,—,"0,00 %",Other Equity,—,—,,"3290,00 M€",13 oct 2025,"0,15 %",31 ene 2020
Vanguard FTSE Japan ETF USD Acc,IE00BFMXYX26,"39,37 US$","0,00 %",Japan Large-Cap Blend Equity,,,,"3803,56 MUS$",13 oct 2025,"0,10 %",24 sept 2019
Vanguard FTSE Japan ETF USD H Acc,IE00BFMXZJ56,—,"0,00 %",Other Equity,—,—,,"3803,56 MUS$",13 oct 2025,"0,15 %",31 ene 2020
Vanguard FTSE North America ETF USD Acc,IE00BK5BQW10,"166,08 US$","0,23 %",US Large-Cap Blend Equity,,,,"4908,50 MUS$",13 oct 2025,"0,08 %",23 jul 2019
Vanguard FTSE North America UCITS ETF,IE00BKX55R35,"161,93 US$","0,98 %",US Large-Cap Blend Equity,,,,"4908,50 MUS$",13 oct 2025,"0,08 %",30 sept 2014
Vanguard Germany All Cap ETF EUR Inc,IE00BG143G97,"34,34 €","2,07 %",Germany Equity,,,,"261,01 M€",13 oct 2025,"0,07 %",17 jul 2018
Vanguard Global Aggt Bd ETF CHF H Acc,IE00BG47KF31,"21,28 CHF","0,00 %",Global Diversified Bond - CHF Hedged,,,,"3879,98 MCHF",13 oct 2025,"0,08 %",14 sept 2021
Vanguard Global Aggt Bd ETF EUR H Acc,IE00BG47KH54,"23,86 €","0,00 %",Global Diversified Bond - EUR Hedged,,,,"4167,52 M€",13 oct 2025,"0,08 %",18 jun 2019
Vanguard Global Aggt Bd ETF GBP H Acc,IE00BG47K971,"25,72 GBP","3,38 %",Global Diversified Bond - GBP Hedged,,,,"3615,13 MGBP",13 oct 2025,"0,08 %",18 jun 2019
Vanguard Global Aggt Bd ETF USD H Acc,IE00BG47KJ78,"26,85 US$","0,00 %",Global Diversified Bond - USD Hedged,,,,"4818,05 MUS$",13 oct 2025,"0,08 %",18 jun 2019
Vanguard Global Govt Bd ETF CHF H Acc,IE000F16FMX1,"5,04 CHF",—,Global Government Bond - CHF Hedged,—,—,,"99,02 MCHF",13 oct 2025,"0,10 %",25 mar 2025
Vanguard Global Govt Bd ETF EUR H Acc,IE000B1A2798,"5,10 €",—,Global Government Bond - EUR Hedged,—,—,,"106,36 M€",13 oct 2025,"0,10 %",25 mar 2025
Vanguard LifeStrategy 20% Eq ETF EUR Acc,IE00BMVB5K07,"25,37 €","0,00 %",EUR Cautious Allocation - Global,,,,"91,54 M€",13 oct 2025,"0,25 %",8 dic 2020
Vanguard LifeStrategy 40% Eq ETF EUR Acc,IE00BMVB5M21,"29,22 €","0,00 %",EUR Moderate Allocation - Global,,,,"214,39 M€",13 oct 2025,"0,25 %",8 dic 2020
Vanguard LifeStrategy 60% Eq ETF EUR Acc,IE00BMVB5P51,"33,61 €","0,00 %",EUR Moderate Allocation - Global,,,,"677,48 M€",13 oct 2025,"0,25 %",8 dic 2020
Vanguard LifeStrategy 80% Eq ETF EUR Acc,IE00BMVB5R75,"38,50 €","0,00 %",EUR Aggressive Allocation - Global,,,,"869,82 M€",13 oct 2025,"0,25 %",8 dic 2020
Vanguard S&P 500 ETF USD Acc,IE00BFMXXD54,"126,93 US$","0,24 %",US Large-Cap Blend Equity,,,,"77,15 mil MUS$",13 oct 2025,"0,07 %",14 may 2019
Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,"125,46 US$","0,98 %",US Large-Cap Blend Equity,,,,"77,15 mil MUS$",13 oct 2025,"0,07 %",22 may 2012
Vanguard U.K. Gilt ETF GBP Acc,IE00BH04GW44,"20,29 GBP","4,43 %",GBP Government Bond,,,,"561,31 MGBP",13 oct 2025,"0,05 %",19 feb 2019
Vanguard UK Gilt ETF EUR H Acc,IE00BMX0B524,—,"0,00 %",Other Bond,—,—,,"647,07 M€",13 oct 2025,"0,10 %",28 ago 2020
Vanguard UK Gilt UCITS ETF,IE00B42WWV65,"15,94 GBP","4,55 %",GBP Government Bond,,,,"561,31 MGBP",13 oct 2025,"0,05 %",22 may 2012
Vanguard US Trsry 0-1 Yr Bd ETF USD Acc,IE00BLRPPV00,"57,66 US$","0,00 %",USD Ultra Short-Term Bond,,,,"6105,94 MUS$",13 oct 2025,"0,05 %",2 sept 2020
Vanguard USD Corp 1-3yr Bd UCITS ETF,IE00BDD48R20,"49,73 US$","4,98 %",USD Corporate Bond - Short Term,,,,"2978,39 MUS$",13 oct 2025,"0,09 %",22 may 2018
Vanguard USD Corp Bd ETF EUR H Acc,IE00BGYWFL94,—,"0,00 %",Other Bond,—,—,,"3910,86 M€",13 oct 2025,"0,12 %",31 ago 2020
Vanguard USD Corp Bd ETF GBP H Acc,IE00BGYWFN19,—,"4,94 %",Other Bond,—,—,,"3392,49 MGBP",13 oct 2025,"0,12 %",25 may 2021
Vanguard USD Corp Bd ETF USD Acc,IE00BGYWFK87,"60,91 US$","0,00 %",USD Corporate Bond,,,,"4521,33 MUS$",13 oct 2025,"0,07 %",19 feb 2019
Vanguard USD Corp Bd UCITS ETF,IE00BZ163K21,"48,40 US$","5,20 %",USD Corporate Bond,,,,"4521,33 MUS$",13 oct 2025,"0,07 %",24 feb 2016
Vanguard USD Corp1-3yrBd ETF EUR H Acc,IE00BGYWSW13,"54,98 €","0,00 %",Other Bond,—,—,,"2576,25 M€",13 oct 2025,"0,14 %",3 oct 2023
Vanguard USD Corp1-3yrBd ETFUSDAcc,IE00BGYWSV06,"60,57 US$","0,00 %",USD Corporate Bond - Short Term,,,,"2978,39 MUS$",13 oct 2025,"0,09 %",19 feb 2019
Vanguard USD EmMktsGovBd ETFUSDAcc,IE00BGYWCB81,"61,48 US$","0,00 %",Global Emerging Markets Bond,,,,"1352,55 MUS$",13 oct 2025,"0,23 %",19 feb 2019
Vanguard USD EmMktsGovBd UCITS ETF,IE00BZ163L38,"44,03 US$","6,12 %",Global Emerging Markets Bond,,,,"1352,55 MUS$",13 oct 2025,"0,23 %",6 dic 2016
Vanguard USD Trs Bd ETF EUR H Acc,IE00BMX0B631,—,"0,00 %",Other Bond,—,—,,"2447,88 M€",13 oct 2025,"0,10 %",31 ago 2020
Vanguard USD Trs Bd ETF GBP H Dis,IE000S0PSP47,—,"4,22 %",Other Bond,—,—,,"2123,42 MGBP",13 oct 2025,"0,10 %",8 feb 2022
Vanguard USD Trs Bd ETF USD Acc,IE00BGYWFS63,"27,16 US$","0,00 %",USD Government Bond,,,,"2829,99 MUS$",13 oct 2025,"0,05 %",19 feb 2019
Vanguard USD Trs Bd UCITS ETF,IE00BZ163M45,"21,93 US$","4,30 %",USD Government Bond,,,,"2829,99 MUS$",13 oct 2025,"0,05 %",24 feb 2016
Virtune Arbitrum ETP,SE0021310133,"0,31 SEK","0,00 %",Digital Assets,—,—,—,"5,17 MUS$",13 oct 2025,"1,95 %",10 ene 2024
Virtune Bitcoin ETP,SE0020845709,"178,22 SEK","0,00 %",Digital Assets,—,—,—,"82,50 MUS$",13 oct 2025,"1,49 %",8 sept 2023
Virtune Bitcoin Prime ETP,SE0025012032,"1062,00 SEK",—,Digital Assets,—,—,—,"15,69 MUS$",13 oct 2025,"0,25 %",14 may 2025
Virtune Chainlink ETP,SE0021149259,"17,26 SEK","0,00 %",Digital Assets,—,—,—,"16,97 MUS$",13 oct 2025,"1,49 %",30 nov 2023
Virtune Coinbase 50 Index ETP,SE0024738389,"22,91 SEK",—,Digital Assets,—,—,—,"6,41 MSEK",13 oct 2025,"0,95 %",29 may 2025
Virtune Crypto Altcoin Index ETP,SE0023260716,"16,44 SEK",—,Digital Assets,—,—,—,"200,71 MSEK",13 oct 2025,"2,50 %",4 nov 2024
Virtune Crypto Top 10 Index ETP EUR,SE0020052215,"22,24 €","0,00 %",Digital Assets,—,—,—,"3,87 MUS$",13 oct 2025,"1,95 %",15 may 2023
Virtune Crypto Top 10 Index ETP SEK,SE0020052207,"245,99 SEK","0,00 %",Digital Assets,—,—,—,"20,41 MUS$",13 oct 2025,"1,95 %",15 may 2023
Virtune Litecoin ETP,SE0023951082,"8,86 SEK",—,Digital Assets,—,—,—,"2,13 MUS$",13 oct 2025,"1,95 %",28 mar 2025
Virtune Polygon ETP (VIRPOLY),SE0021630217,"1,82 SEK","0,00 %",Digital Assets,—,—,—,"1,68 MUS$",13 oct 2025,"1,95 %",10 abr 2024
Virtune Staked Cardano ETP (VIRADA),SE0021630449,"6,55 SEK","0,00 %",Digital Assets,—,—,—,"6,97 MUS$",13 oct 2025,"1,49 %",15 may 2024
Virtune Staked Ethereum ETP,SE0020541639,"90,56 SEK","0,00 %",Digital Assets,—,—,—,"57,20 MUS$",13 oct 2025,"1,40 %",9 ago 2023
Virtune Staked NEAR ETP,SE0025837735,"22,92 SEK",—,Digital Assets,—,—,—,"964.921,00 US$",13 oct 2025,—,19 ago 2025
Virtune Staked Polkadot ETP,SE0021148129,"3,15 SEK","0,00 %",Digital Assets,—,—,—,"5,72 MUS$",13 oct 2025,"1,49 %",10 ene 2024
Virtune Staked Solana ETP (VIRSOL),SE0021309754,"19,30 SEK","0,00 %",Digital Assets,—,—,—,"11,70 MUS$",14 oct 2025,"0,95 %",10 abr 2024
Virtune Stellar ETP,SE0024417356,"30,97 SEK",—,Digital Assets,—,—,—,"1,95 MUS$",13 oct 2025,"1,95 %",25 abr 2025
Virtune XRP ETP,SE0021486156,"23,01 SEK","0,00 %",Digital Assets,—,—,—,—,—,"1,49 %",2 jul 2024
Wahed FTSE USA Shariah ETP,XS2545629631,"17,11 US$","0,00 %",Islamic Equity - Other,—,—,,"39,05 MUS$",13 oct 2025,"0,55 %",10 nov 2022
WisdomTree Agriculture,GB00B15KYH63,—,"0,00 %",Commodities - Other,—,—,—,"149,83 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Aluminium,GB00B15KXN58,—,"0,00 %",Commodities - Industrial & Broad Metals,—,—,—,"40,00 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Art Intelligence ETF USD Acc,IE00BDVPNG13,"86,28 US$","0,00 %",Sector Equity Technology,,,,"1056,44 MUS$",13 oct 2025,"0,40 %",30 nov 2018
WisdomTree AT1 CoCo Bond ETF - USD Acc,IE00BZ0XVG69,"136,40 US$","0,00 %",Other Bond,—,—,,"367,79 MUS$",2 oct 2025,"0,39 %",14 may 2018
WisdomTree Battery Solutions ETF USD Acc,IE00BKLF1R75,"46,42 US$","0,00 %",Other Equity,—,—,,"215,64 MUS$",13 oct 2025,"0,40 %",26 feb 2020
WisdomTree BioRevolution ETF - USD Acc,IE000O8KMPM1,"18,24 US$","0,00 %",Sector Equity Biotechnology,,,,"8,33 MUS$",13 oct 2025,"0,45 %",3 dic 2021
WisdomTree Blockchain UCITS ETF USD Acc,IE000940RNE6,"72,56 US$","0,00 %",Sector Equity Technology,,,,"68,82 MUS$",13 oct 2025,"0,45 %",7 sept 2022
WisdomTree Broad Commodities ETC,GB00B15KY989,—,"0,00 %",Commodities - Broad Basket,—,—,—,"86,01 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Broad Commodities ETF USD Acc,IE00BKY4W127,"12,27 US$","0,00 %",Commodities - Broad Basket,—,—,,"309,73 MUS$",13 oct 2025,"0,19 %",29 nov 2021
WisdomTree Bund 10Y 3x Daily Short ETP,IE00BKS8QN04,"64,51 €","0,00 %",Trading - Leveraged/Inverse Fixed Income,—,—,—,"621.481,00 €",13 oct 2025,"0,30 %",4 ago 2014
WisdomTree Cloud Computing ETF - USD Acc,IE00BJGWQN72,"33,88 US$","0,00 %",Sector Equity Technology,,,,"267,35 MUS$",13 oct 2025,"0,40 %",6 sept 2019
WisdomTree Coffee ETC,JE00BN7KB557,—,"0,00 %",Commodities - Other,—,—,—,"43,04 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Corn ETC,JE00BN7KB441,"17,27 US$","0,00 %",Commodities - Other,—,—,—,"18,32 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Cotton ETC,GB00B15KXT11,—,"0,00 %",Commodities - Other,—,—,—,"12,36 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Cybersecurity ETF - USD Acc,IE00BLPK3577,"31,11 US$","0,00 %",Sector Equity Technology,,,,"349,14 MUS$",13 oct 2025,"0,45 %",25 ene 2021
WisdomTree EM ex-St-OwndEntrprESGScrnETF,IE00BM9TSP27,"26,08 US$","0,00 %",Global Emerging Markets Equity,,,,"13,69 MUS$",13 oct 2025,"0,32 %",18 ago 2021
WisdomTree Emerging Mkt Eqty Inc ETF Acc,IE00BDF12W49,"30,28 US$","0,00 %",Global Emerging Markets Equity,,,,"191,35 MUS$",13 oct 2025,"0,46 %",2 nov 2016
WisdomTree Emrgng Mkts Equity Income ETF,IE00BQQ3Q067,"16,09 US$","4,81 %",Global Emerging Markets Equity,,,,"191,35 MUS$",13 oct 2025,"0,46 %",19 nov 2014
WisdomTree Emrgng Mkts SmallCap Div ETF,IE00BQZJBM26,"21,42 US$","2,83 %",Global Emerging Markets Small/Mid-Cap Equity,,,,"38,37 MUS$",13 oct 2025,"0,54 %",19 nov 2014
WisdomTree Energy ETC,GB00B15KYB02,—,"0,00 %",Commodities - Energy,—,—,—,"46,49 MUS$",13 oct 2025,"0,54 %",22 sept 2006
WisdomTree Enh Cmdty ex-Ag ETF € Hdgd Ac,IE00BDVPNV63,"12,31 €","0,00 %",Commodities - Broad Basket,—,—,—,—,—,"0,35 %",7 jul 2021
WisdomTree Enh Cmdty ex-Ags ETF USD Acc,IE00BDVPNS35,"13,79 US$","0,00 %",Commodities - Broad Basket,—,—,—,—,—,"0,35 %",6 oct 2021
WisdomTree Enhanced Cmdty ETF - USD Acc,IE00BYMLZY74,"16,31 US$","0,00 %",Commodities - Broad Basket,—,—,—,"292,53 MUS$",13 oct 2025,"0,35 %",27 abr 2016
WisdomTree Europe Defence ETF EUR Acc,IE0002Y8CX98,"32,27 €",—,Sector Equity Industrial Materials,—,—,,"3558,53 M€",13 oct 2025,"0,40 %",4 mar 2025
WisdomTree Europe Equity ETF - EUR Acc,IE00BYQCZX56,"28,44 €","0,00 %",Europe Large-Cap Blend Equity,,,,"70,67 M€",2 oct 2025,"0,32 %",2 nov 2015
WisdomTree Europe Equity ETF - USD Hedge,IE00BVXBH163,"28,44 US$","2,19 %",Other Equity,—,—,,"82,77 MUS$",2 oct 2025,"0,58 %",18 may 2015
WisdomTree Europe Equity Income ETF Acc,IE00BDF16007,"22,39 €","0,00 %",Europe Equity Income,,,,"84,02 M€",13 oct 2025,"0,29 %",3 nov 2016
WisdomTree Europe Equity Income UCIT ETF,IE00BQZJBX31,"13,51 €","5,51 %",Europe Equity Income,,,,"84,02 M€",13 oct 2025,"0,29 %",21 oct 2014
WisdomTree Europe SmallCap Div ETF - Acc,IE00BDF16114,"22,27 €","0,00 %",Europe Small-Cap Equity,,,,"73,09 M€",13 oct 2025,"0,38 %",3 nov 2016
